STATION	DATE	CLDD	DP01	DP05	DP10	DT00	DT32	DT90	DX32	HTDD	EMXP	MXSD	TPCP	TSNW	EMNT	EMXT	MMNT	MMXT	MNTM
GHCND:USC00456898	19360501	0	13	5	1	0	14	0	1	3611	279	3988	1691	584	-50	211	16	109	63
GHCND:USC00456898	19360601	0	9	5	2	0	4	0	0	3076	559	2591	1599	0	0	211	35	126	80
GHCND:USC00456898	19360701	0	4	2	0	0	0	0	0	2266	229	76	595	0	11	228	59	161	110
GHCND:USC00456898	19360801	12	3	1	0	0	0	0	0	1924	127	-9999	227	0	22	244	70	173	121
GHCND:USC00456898	19360901	0	4	1	1	0	5	0	0	2637	269	76	574	203	-39	222	47	144	95
GHCND:USC00456898	19361001	0	6	2	2	0	4	0	1	2925	470	25	934	25	-33	222	43	134	89
GHCND:USC00456898	19361101	0	4	1	0	0	14	0	1	3915	234	102	440	153	-100	189	13	92	53
GHCND:USC00456898	19361201	0	16	9	7	0	31	0	20	6686	823	2362	4180	3644	-122	67	-56	-10	-33
GHCND:USC00456898	19370101	0	15	8	3	4	31	0	30	8708	411	3302	2695	3302	-211	22	-132	-64	-98
GHCND:USC00456898	19370201	0	18	12	8	0	28	0	22	6374	699	4775	4303	4471	-117	94	-79	-10	-45
GHCND:USC00456898	19370301	0	11	5	2	0	28	0	9	5769	340	4724	1465	1955	-100	139	-38	31	-3
GHCND:USC00456898	19370401	0	15	8	4	0	30	0	14	5968	394	5182	2717	2946	-94	94	-49	17	-16
GHCND:USC00456898	19370501	0	6	1	0	0	17	0	1	3337	137	4724	398	636	-56	161	-6	94	44
GHCND:USC00456898	19370601	0	12	10	6	0	4	0	0	2653	427	2997	2632	279	-11	256	45	133	88
GHCND:USC00456898	19370701	41	3	1	0	0	0	0	0	1265	239	-9999	440	0	6	256	67	184	130
GHCND:USC00456898	19370801	0	8	2	2	0	5	0	0	2513	406	-9999	1273	0	-6	256	52	152	102
GHCND:USC00456898	19370901	40	3	2	0	0	5	0	0	2464	251	0	556	0	-28	256	58	147	102
GHCND:USC00456898	19371001	0	10	5	3	0	12	0	0	3023	701	0	2361	127	-44	233	24	126	75
GHCND:USC00456898	19371101	-9999	16	8	1	0	30	-9999	-9999	-9999	457	1524	2211	-9999	-67	-9999	-36	-9999	-9999
GHCND:USC00456898	19371201	0	11	9	6	0	30	0	1	3461	620	3251	3499	3193	-133	61	-53	20	-9
